viaje	coordenadas	completado
escalar en la mesa de los santos en santander	6.942487781573755, -73.03576421334185	FALSE
visitar la reserva natural san cipriano en el valle del cauca	3.8401481778882185, -76.89812584364522	FALSE
navegar el rio magdalena	6.207209221643043, -74.58278032173426	FALSE
hacer un safari en los llanos orientales	4.734184423761572, -70.2908920552427	FALSE
disfrutar de un festival de joropo en villavicencio	4.118244593621077, -73.63103481597582	FALSE
conocer almenos 10 departamentos y sus capitales	4.661812324004326, -74.11531833143448	FALSE
recorrer todos los pueblos patrimonio	5.6139363379462415, -75.45545530241438	FALSE
Aguadas, Caldas	5.6139363379462415, -75.45545530241438	TRUE
Barichara, Santander	6.63608389492924, -73.22291496832001	TRUE
Ciénaga, Magdalena	11.00930776557974, -74.24435666832952	FALSE
El Jardín, Antioquia	5.600653546106222, -75.82172130962064	FALSE
Guadalajara de Buga, Valle del Cauca	3.893190300034954, -76.29827455597855	TRUE
Jericó, Antioquia	5.791835900714222, -75.78632346466178	FALSE
Monguí, Boyacá	5.721988867792642, -72.84983998156308	FALSE
Honda, Tolima	5.207312619486449, -74.73796801445309	FALSE
Playa de Belén, Norte de Santander	8.213575328159363, -73.23825672614065	FALSE
Salamina, Caldas	5.40250393505855, -75.48727772076523	TRUE
San Juan Girón, Santander	7.078011375211386, -73.16673515904505	TRUE
Villa de Guaduas, Cundinamarca	5.065055964464231, -74.59858415703349	FALSE
Santa Cruz de Lorica, Córdoba	9.232736740803475, -75.81799624287342	FALSE
Santa Cruz de Mompox, Bolívar	9.23902442478571, -74.42629861688312	FALSE
Santa Fe de Antioquia, Antioquia	6.561020428030317, -75.81802718175729	FALSE
Villa de Leyva, Boyacá	5.638079549701124, -73.52946181016752	TRUE
El Socorro, Santander	6.464321126193416, -73.26251694962917	TRUE
participar del petronio en cali	3.4158569728897272, -76.52813909431461	FALSE
visitar san juan de giron en santander	7.078011375211386, -73.16673515904505	TRUE
visitar las salinas de galerazamba en bolivar	10.793237692741446, -75.25333337389726	FALSE
participa en una liberacion de tortugas en el pacifico	6.070147238470336, -77.39620521598127	FALSE
hacer una toma de yage con un taita	5.447740692058088, -75.32524579156164	FALSE
pasear en yate en cholon cartagena	10.422173884230991, -75.55240084119069	FALSE
probar un plato tipico de cada departamento	10.1998298517643, -75.49069021143553	FALSE
visitar el parque nacional natural utria en el choco	6.021100795764362, -77.23333780821444	FALSE
visitar santa cruz del islote	9.786254521876273, -75.85925281637041	FALSE
conocer el complejo del paramo santurban	7.257920231040994, -72.87797580688023	FALSE
